participant_id,group,instruction_condition,n_trials,block1_condition,block2_condition,human_acc_overall,human_acc_block1,human_acc_block2,varvol_acc_overall,varvol_acc_block1,varvol_acc_block2,weber_acc_overall,weber_acc_block1,weber_acc_block2,varvol_match_overall,varvol_match_overall_std,varvol_match_block1,varvol_match_block1_std,varvol_match_block2,varvol_match_block2_std,weber_match_overall,weber_match_overall_std,weber_match_block1,weber_match_block1_std,weber_match_block2,weber_match_block2_std,task_switches,task_traps,task_beta
adaptive_lab_52ae4c1c,B,Instructions,100,high_noise,medium_noise,0.5,0.46,0.54,0.6308999999999999,0.7011999999999999,0.5606000000000001,0.6202000000000001,0.7131999999999998,0.5272,0.5121000000000001,0.03539194823685184,0.5128,0.04494619004988076,0.5114,0.057149278210665094,0.5038,0.038360917611548355,0.5012,0.05058221031153146,0.5064,0.0566307337052947,7,26,0.74
adaptive_lab_534d2332,B,Instructions,100,high_noise,medium_noise,0.52,0.72,0.32,0.7519999999999999,0.7786,0.7253999999999999,0.7641000000000001,0.7596,0.7686,0.5932,0.03310226578347772,0.6994,0.04054183024975561,0.48700000000000004,0.04982971001320397,0.5646999999999999,0.03368842531196729,0.6743999999999999,0.04252810835200643,0.45500000000000007,0.047947888378947416,4,21,0.79
adaptive_lab_57523f00,B,Instructions,100,medium_noise,high_noise,0.54,0.58,0.5,0.667,0.6813999999999997,0.6526,0.6782,0.6706,0.6858,0.5684000000000001,0.0432370211739893,0.5414000000000001,0.06488482102926692,0.5953999999999999,0.05898169207474468,0.5576000000000001,0.04054922933916252,0.5426,0.05984346246667215,0.5726,0.045926462959823056,3,30,0.7
adaptive_lab_62d173ea,B,Instructions,100,high_noise,medium_noise,0.43,0.42,0.44,0.7238,0.6422,0.8053999999999998,0.7369000000000001,0.6476000000000001,0.8262,0.5092000000000001,0.03799157801408098,0.5318,0.060072955645614774,0.4866,0.04089547652247129,0.5001000000000001,0.03119278762791169,0.5140000000000001,0.05110772935672256,0.48619999999999997,0.04451471666763702,5,27,0.73
adaptive_lab_685a115e,B,Instructions,100,high_noise,medium_noise,0.41,0.38,0.44,0.6629999999999999,0.6742,0.6517999999999999,0.6565000000000001,0.7040000000000002,0.6090000000000001,0.4512,0.036339510178316936,0.44260000000000005,0.04276961538288601,0.4598,0.0645287532809987,0.44189999999999996,0.04251340964919187,0.43560000000000004,0.05333516663515735,0.4482000000000001,0.06325156124555346,5,28,0.72
adaptive_lab_6bfae065,B,Instructions,100,medium_noise,high_noise,0.51,0.42,0.6,0.7094000000000001,0.7916000000000001,0.6271999999999999,0.6894999999999999,0.8236,0.5554000000000001,0.5028000000000001,0.03794944004856989,0.5144000000000001,0.046050407164323744,0.4912,0.05729362966334041,0.4669,0.03695118401350626,0.49559999999999993,0.048048309023315285,0.4382,0.05036625854676919,3,34,0.6599999999999999
adaptive_lab_6efcb881,B,Instructions,100,medium_noise,high_noise,0.76,0.76,0.76,0.6801999999999998,0.7190000000000001,0.6413999999999999,0.7167,0.7166000000000001,0.7168000000000001,0.7375999999999999,0.03985272889025293,0.6806,0.05681232260698378,0.7946,0.05570314174263422,0.7905000000000001,0.03653423052426313,0.6838000000000001,0.05213022156101006,0.8972,0.04436394932825525,6,29,0.71
adaptive_lab_7791e665,A,No Instructions,100,medium_noise,high_noise,0.56,0.72,0.4,0.7511,0.7938,0.7084,0.7273000000000001,0.7508,0.7038,0.5715,0.03272231654391233,0.7229999999999999,0.03902563260217571,0.41999999999999993,0.05366563145999496,0.5507,0.033771437635966864,0.7083999999999999,0.04818132418271626,0.393,0.051254268114957986,3,21,0.79
adaptive_lab_7ba35dc6,B,Instructions,100,high_noise,medium_noise,0.58,0.56,0.6,0.7120999999999998,0.7309999999999998,0.6931999999999999,0.7005,0.6902000000000001,0.7108,0.6111000000000001,0.038049835742089616,0.6277999999999999,0.05698385736329192,0.5944,0.04825598408487801,0.6451,0.03971133339488867,0.6409999999999999,0.05164300533470142,0.6492,0.057090804863830745,8,19,0.81
adaptive_lab_7ebadc2b,B,Instructions,100,medium_noise,high_noise,0.63,0.6,0.66,0.7091,0.7656000000000001,0.6526,0.6979000000000001,0.7606,0.6351999999999999,0.6767,0.033646842348131256,0.6447999999999999,0.04281308211283089,0.7086,0.05006036356240333,0.6772999999999998,0.031236357021906365,0.6522,0.0398893469487782,0.7024000000000001,0.04429717823970279,7,18,0.8200000000000001
adaptive_lab_8003f702,B,Instructions,100,medium_noise,high_noise,0.53,0.54,0.52,0.6618999999999999,0.7154,0.6083999999999999,0.6856,0.7460000000000001,0.6252,0.5909,0.040152085873588185,0.5761999999999999,0.05394033741088388,0.6055999999999999,0.05535919074553023,0.5804,0.03992292574448921,0.5816,0.05393922505932023,0.5792,0.057195804041905024,8,24,0.76
adaptive_lab_8b1d2fbe,B,Instructions,100,medium_noise,high_noise,0.87,0.84,0.9,0.7797,0.812,0.7474000000000003,0.7661000000000001,0.8067999999999997,0.7254,0.8207000000000002,0.029504406450562584,0.8648,0.038999487176115545,0.7765999999999998,0.05499490885527496,0.8090999999999999,0.04094129944200599,0.8548000000000002,0.043691646798901966,0.7634000000000001,0.06267726860672854,5,21,0.79
adaptive_lab_8eb0859e,B,Instructions,100,high_noise,medium_noise,0.67,0.58,0.76,0.7829,0.7792,0.7866,0.7622000000000001,0.7938,0.7306,0.7058999999999999,0.03455705427260836,0.6492,0.045114964257993155,0.7626000000000001,0.04105167475268214,0.6818000000000001,0.02628231344459614,0.6361999999999999,0.036408240825395566,0.7274,0.04678931501956403,5,15,0.85
adaptive_lab_9d4ed4c8,A,No Instructions,100,high_noise,medium_noise,0.63,0.72,0.54,0.7994,0.8264000000000001,0.7723999999999998,0.8145,0.824,0.8049999999999998,0.6461999999999999,0.03221117818397831,0.7112000000000002,0.04052850848476909,0.5812,0.051677461237951694,0.6327,0.03227553252852693,0.6948000000000001,0.04813481068831579,0.5706,0.0461696870251467,3,19,0.81
adaptive_lab_a474f8ac,B,Instructions,100,high_noise,medium_noise,0.75,0.68,0.82,0.7121,0.7135999999999999,0.7106000000000001,0.7165,0.7182000000000001,0.7148,0.7215,0.04003436024217198,0.7092,0.05406810520075584,0.7338,0.05518659257464625,0.7343,0.04306402210662632,0.7094,0.05765101907165215,0.7592,0.06163894872562315,5,26,0.74
adaptive_lab_a55bffe3,A,No Instructions,100,high_noise,medium_noise,0.69,0.52,0.86,0.6553,0.5472000000000001,0.7634000000000001,0.6547000000000002,0.5548000000000001,0.7545999999999998,0.6406999999999999,0.03914728598511014,0.5244000000000001,0.06155192929551437,0.757,0.045727453460694706,0.6171,0.03840039062301321,0.5088,0.0555928052898934,0.7253999999999998,0.049465543563171316,5,24,0.76
adaptive_lab_aed15edd,B,Instructions,100,medium_noise,high_noise,0.57,0.52,0.62,0.7171,0.7649999999999999,0.6692,0.7136,0.7797999999999999,0.6474000000000001,0.5829000000000001,0.03519360737406722,0.5554,0.04269473035399098,0.6103999999999999,0.04975781345678285,0.5678000000000001,0.030938002521171258,0.5386000000000001,0.04032418629061224,0.597,0.04650806381693394,10,18,0.8200000000000001
adaptive_lab_afa823e9,B,Instructions,100,medium_noise,high_noise,0.6,0.6,0.6,0.6535000000000001,0.6618,0.6452,0.6981999999999998,0.713,0.6834,0.6187,0.0391575024739832,0.6502000000000001,0.053178567111196215,0.5872,0.06773595795439818,0.5980000000000001,0.04164132562731402,0.639,0.0523354564325181,0.557,0.05921992907797172,5,32,0.6799999999999999
adaptive_lab_baac83df,B,Instructions,100,high_noise,medium_noise,0.77,0.68,0.86,0.603,0.4828,0.7231999999999998,0.5979000000000001,0.46580000000000005,0.7299999999999998,0.7019999999999998,0.036578682316343765,0.6411999999999999,0.05402369850352713,0.7628,0.05223179108550653,0.6865000000000001,0.037613162589710515,0.6109999999999999,0.06231372240526158,0.7620000000000001,0.05173006862551025,5,25,0.75
adaptive_lab_c5b3641b,B,Instructions,100,medium_noise,high_noise,0.67,0.52,0.82,0.6823999999999999,0.617,0.7477999999999999,0.6884999999999999,0.609,0.7680000000000002,0.691,0.038948684188300886,0.6282000000000001,0.05960503334450875,0.7537999999999999,0.053493551013182886,0.6965,0.03545066995135634,0.6342,0.05140389090331587,0.7587999999999999,0.05144472762101087,8,23,0.77
adaptive_lab_c88395a3,B,Instructions,100,medium_noise,high_noise,0.63,0.64,0.62,0.5636,0.5248,0.6023999999999999,0.6234,0.5124000000000001,0.7344000000000002,0.642,0.05145872132107442,0.6704000000000001,0.06302253565193962,0.6136,0.07630884614512265,0.6318,0.04111885212405619,0.6612,0.05290141775037792,0.6024,0.05749991304341251,7,33,0.6699999999999999
adaptive_lab_c973295f,A,No Instructions,100,medium_noise,high_noise,0.5,0.64,0.36,0.6091000000000001,0.7038,0.5144,0.6150000000000001,0.7166,0.5134000000000001,0.6507000000000001,0.041815188628057144,0.7162000000000001,0.049935558472895845,0.5852,0.06459845199383651,0.6572000000000001,0.038860777140968236,0.7397999999999999,0.05134160106580238,0.5745999999999999,0.05712127449558526,10,29,0.71
adaptive_lab_cc508b71,A,No Instructions,100,medium_noise,high_noise,0.72,0.7,0.74,0.7413999999999998,0.8357999999999999,0.647,0.7623000000000002,0.7972,0.7274,0.671,0.03953479480154158,0.6582000000000001,0.04784098661190005,0.6838,0.05883502358289661,0.6599,0.033391465975605196,0.6307999999999999,0.05133575751851725,0.689,0.047780749261601155,7,22,0.78
adaptive_lab_cd4434f6,B,Instructions,100,high_noise,medium_noise,0.61,0.44,0.78,0.7125999999999999,0.61,0.8151999999999999,0.7192000000000001,0.5798,0.8586,0.66,0.03481379037105842,0.5304,0.04787316576120698,0.7896,0.04377030957167198,0.6528,0.03739197774924455,0.5178,0.05074603432781718,0.7878000000000001,0.04334927911742016,8,21,0.79
adaptive_lab_ceb36f8b,B,Instructions,100,high_noise,medium_noise,0.57,0.5,0.64,0.6970000000000001,0.6502,0.7437999999999998,0.6949999999999998,0.611,0.7789999999999999,0.564,0.03693237062523876,0.5286,0.05147853921781386,0.5993999999999999,0.05133848459002272,0.5348,0.03160632848022687,0.521,0.0514101157361078,0.5486000000000001,0.04130423707078972,6,22,0.78
adaptive_lab_d3b198e4,B,Instructions,100,medium_noise,high_noise,0.73,0.74,0.72,0.7463000000000001,0.6740000000000002,0.8186,0.8181000000000003,0.7104,0.9257999999999998,0.7646999999999998,0.03683625931063034,0.7724,0.053350164010994384,0.7569999999999999,0.048938737212968625,0.7361,0.030360994713612404,0.7548000000000001,0.04738100885375913,0.7173999999999999,0.03694915425283777,4,23,0.77
adaptive_lab_d3df5afa,A,No Instructions,100,high_noise,medium_noise,0.56,0.48,0.64,0.5492,0.5521999999999999,0.5462,0.5630000000000001,0.5684,0.5575999999999999,0.5710000000000001,0.04288356328478313,0.541,0.057784080852774665,0.601,0.06121274377121157,0.5690000000000001,0.04013726448077895,0.5415999999999999,0.061428332225447885,0.5963999999999999,0.0588815760658629,10,29,0.71
adaptive_lab_d8fc8189,B,Instructions,100,medium_noise,high_noise,0.56,0.6,0.52,0.7264999999999998,0.7932000000000001,0.6597999999999999,0.7045999999999998,0.8162,0.5930000000000001,0.6699000000000003,0.0339262435291619,0.6587999999999999,0.04334235803460628,0.6809999999999999,0.05435991169970753,0.6836000000000001,0.03173389355247791,0.6642000000000001,0.03972857913391819,0.7030000000000001,0.048031239834091306,5,25,0.75
adaptive_lab_e97713f3,B,Instructions,100,medium_noise,high_noise,0.9,0.82,0.98,0.8097000000000001,0.7744,0.8450000000000002,0.8367,0.7637999999999999,0.9096000000000001,0.7942999999999999,0.03169400574241128,0.7552,0.04834211414491509,0.8334000000000001,0.044276856256965674,0.8233,0.03458482326107796,0.7517999999999998,0.05084053500898668,0.8948000000000002,0.043965440973564675,3,21,0.79
adaptive_lab_eef00ebf,B,Instructions,100,high_noise,medium_noise,0.77,0.66,0.88,0.7189000000000001,0.7034000000000001,0.7343999999999999,0.7478999999999999,0.6992000000000002,0.7966000000000001,0.7057000000000001,0.034007499172976526,0.7090000000000001,0.04752893855326458,0.7023999999999999,0.05248085365159373,0.7433000000000001,0.03867958117663635,0.7204,0.05276210761521946,0.7661999999999999,0.05835717607972476,5,29,0.71
adaptive_lab_ef0d7ba0,B,Instructions,100,high_noise,medium_noise,0.75,0.72,0.78,0.7916000000000003,0.7808000000000002,0.8024,0.8147,0.8247999999999999,0.8046,0.7927999999999998,0.03209610568277715,0.7847999999999997,0.048917890387873426,0.8008,0.04344375674363348,0.7889,0.030818663176718105,0.7767999999999999,0.04593212383506775,0.801,0.034568772034887195,4,19,0.81
adaptive_lab_f2d405ab,B,Instructions,100,medium_noise,high_noise,0.65,0.58,0.72,0.7431000000000002,0.789,0.6971999999999998,0.7068000000000001,0.795,0.6186,0.6819,0.03903062899826236,0.6269999999999999,0.049183330509431744,0.7368000000000001,0.05647796030311293,0.6626000000000001,0.039436531287627204,0.6225999999999999,0.047971241384813054,0.7026000000000002,0.06353927919011987,5,24,0.76
adaptive_lab_f69d4496,A,No Instructions,100,medium_noise,high_noise,0.83,0.72,0.94,0.7543000000000001,0.7445999999999999,0.764,0.7503,0.7372,0.7633999999999999,0.7655000000000001,0.034157722406507156,0.7833999999999999,0.04517122978179805,0.7475999999999999,0.05335016401099438,0.7768999999999999,0.03554419783874719,0.802,0.04395452195167182,0.7518,0.05858976019749527,2,20,0.8
