participant_id,n_trials,human_accuracy,varvol_accuracy,weber_accuracy,varvol_choice_match,weber_choice_match,varvol_choice_match_std,weber_choice_match_std,task_beta,task_switches,task_traps
adaptive_lab_685a115e,100,0.41,0.5047999999999999,0.5075999999999999,0.46599999999999997,0.4644,0.048083261120685235,0.04089792170758803,0.72,67,28
adaptive_lab_6bfae065,100,0.51,0.5716,0.5628,0.52,0.4911999999999999,0.04064480286580315,0.04092138805074922,0.6599999999999999,59,34
adaptive_lab_6efcb881,100,0.76,0.6873999999999998,0.7558,0.7006,0.7650000000000001,0.044918147780156736,0.0317647603485372,0.71,22,29
adaptive_lab_7791e665,100,0.56,0.6592,0.6408,0.5528,0.548,0.03423682228244904,0.03903844259188626,0.79,31,21
adaptive_lab_7ba35dc6,100,0.58,0.605,0.5954,0.635,0.6966000000000001,0.04186884283091665,0.02804353757998443,0.81,44,19
adaptive_lab_7ebadc2b,100,0.63,0.7110000000000001,0.7056,0.6478,0.6504000000000001,0.02715069059895163,0.023996666435153035,0.8200000000000001,27,18
adaptive_lab_8003f702,100,0.53,0.598,0.6607999999999999,0.5892000000000001,0.5668,0.05055056874061853,0.03802315084261165,0.76,36,24
adaptive_lab_8b1d2fbe,100,0.87,0.6402,0.6315999999999999,0.6585999999999999,0.66,0.036551880936553725,0.03310589071449369,0.79,43,21
adaptive_lab_8eb0859e,100,0.67,0.6172,0.633,0.6388,0.6546000000000001,0.048068284762408583,0.03827322824116095,0.85,53,15
adaptive_lab_9d4ed4c8,100,0.63,0.5724,0.5858000000000001,0.5452,0.561,0.04085290687331808,0.0386393581727233,0.81,47,19
adaptive_lab_a474f8ac,100,0.75,0.6287999999999999,0.6424,0.6103999999999999,0.64,0.03560674093482863,0.03464101615137755,0.74,43,26
adaptive_lab_a55bffe3,100,0.69,0.5186,0.499,0.6457999999999999,0.6514,0.03894046738291671,0.042661926820058184,0.76,69,24
adaptive_lab_aed15edd,100,0.57,0.4766,0.5018,0.5122000000000001,0.5158,0.046660047149568985,0.05040198408793051,0.8200000000000001,68,18
adaptive_lab_afa823e9,100,0.6,0.5684,0.6072,0.5883999999999999,0.586,0.04230177301248732,0.046,0.6799999999999999,39,32
adaptive_lab_baac83df,100,0.77,0.5632,0.5868000000000001,0.6576,0.6644,0.036086562596068905,0.030669854906732102,0.75,63,25
adaptive_lab_c5b3641b,100,0.67,0.5654,0.5956,0.5866,0.61,0.030239708993308776,0.036055512754639904,0.77,44,23
adaptive_lab_c88395a3,100,0.63,0.4971999999999999,0.5242,0.5408,0.5698000000000001,0.04507061126721047,0.041640845332437705,0.6699999999999999,37,33
adaptive_lab_c973295f,100,0.5,0.5569999999999999,0.5484,0.6674000000000001,0.7188000000000001,0.033094410404175496,0.043709953099951966,0.71,52,29
adaptive_lab_cc508b71,100,0.72,0.6579999999999999,0.6923999999999999,0.61,0.5963999999999999,0.03682390527904395,0.03210981158462317,0.78,31,22
adaptive_lab_cd4434f6,100,0.61,0.607,0.6526000000000001,0.5926,0.6386,0.04251164546333157,0.04395497696507189,0.79,38,21
adaptive_lab_ceb36f8b,100,0.57,0.637,0.6292,0.5486,0.5144000000000001,0.03821046976942314,0.03774440355867344,0.78,34,22
adaptive_lab_d3b198e4,100,0.73,0.7433999999999998,0.8197999999999999,0.7138,0.7134,0.028767342595380614,0.027321054152429764,0.77,14,23
adaptive_lab_d3df5afa,100,0.56,0.5728,0.5936,0.5556,0.5708,0.04238679039512191,0.04122329438557767,0.71,32,29
adaptive_lab_d8fc8189,100,0.56,0.5489999999999999,0.563,0.6046,0.6306,0.037587763966482515,0.031010320862577365,0.75,63,25
adaptive_lab_e97713f3,100,0.9,0.7103999999999999,0.7190000000000001,0.7019999999999998,0.7105999999999999,0.035496478698597685,0.03495196704049716,0.79,33,21
adaptive_lab_eef00ebf,100,0.77,0.5268,0.5661999999999999,0.5316000000000001,0.5398,0.04755460019808808,0.04268442338839779,0.71,47,29
adaptive_lab_ef0d7ba0,100,0.75,0.7097999999999999,0.7692,0.6694,0.6968000000000001,0.037810580529793504,0.02693993318477236,0.81,28,19
adaptive_lab_f2d405ab,100,0.65,0.5244000000000001,0.516,0.542,0.5104000000000001,0.04054626986542658,0.04059359555397871,0.76,67,24
adaptive_lab_f69d4496,100,0.83,0.6274000000000001,0.6467999999999999,0.681,0.7064,0.03189043743820393,0.024228908353452476,0.8,50,20
